config_id,episode,n_capture,n_steps
put_back_0,51,0,0
put_back_0,101,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,101,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,451,0,0
put_back_0,151,1,2
put_back_0,301,1,2
put_back_0,51,1,5
put_back_0,101,1,5
put_back_0,401,1,8
put_back_0,51,2,10
put_back_0,101,2,10
put_back_0,251,1,10
put_back_0,451,1,11
put_back_0,151,2,12
put_back_0,201,1,12
put_back_0,301,2,12
put_back_0,351,1,16
put_back_0,51,3,17
put_back_0,451,2,18
put_back_0,251,2,21
put_back_0,151,3,23
put_back_0,101,3,24
put_back_0,1,1,26
put_back_0,301,3,27
put_back_0,51,4,28
put_back_0,401,2,29
put_back_0,351,2,30
put_back_0,101,4,31
put_back_0,451,3,31
put_back_0,301,4,33
put_back_0,351,3,33
put_back_0,251,3,34
put_back_0,251,4,35
put_back_0,401,3,35
put_back_0,51,5,37
put_back_0,251,5,38
put_back_0,401,4,40
put_back_0,51,6,42
put_back_0,251,6,42
put_back_0,201,2,43
put_back_0,351,4,43
put_back_0,101,5,44
put_back_0,151,4,44
put_back_0,301,5,46
put_back_0,51,7,47
put_back_0,251,7,48
put_back_0,401,5,49
put_back_0,51,8,50
put_back_0,351,5,51
put_back_0,351,6,52
put_back_0,451,4,52
put_back_0,1,2,53
put_back_0,201,3,55
put_back_0,101,6,56
put_back_0,401,6,58
put_back_0,51,9,62
put_back_0,351,7,62
put_back_0,201,4,63
put_back_0,51,11,65
put_back_0,251,8,67
put_back_0,101,7,68
put_back_0,201,5,68
put_back_0,301,6,70
put_back_0,401,7,70
put_back_0,451,5,71
put_back_0,51,12,72
put_back_0,151,5,72
put_back_0,251,9,72
put_back_0,301,7,77
put_back_0,101,8,78
put_back_0,251,10,80
put_back_0,401,8,80
put_back_0,101,9,83
put_back_0,151,6,83
put_back_0,251,11,84
put_back_0,101,10,87
put_back_0,451,6,87
put_back_0,151,7,90
put_back_0,301,8,90
put_back_0,451,7,91
put_back_0,51,13,92
put_back_0,251,12,92
put_back_0,101,11,94
put_back_0,151,8,94
put_back_0,1,3,97
put_back_0,201,6,97
put_back_0,51,14,98
put_back_0,151,9,101
put_back_0,351,8,101
put_back_0,351,9,103
put_back_0,151,10,104
put_back_0,251,13,104
put_back_0,451,8,104
put_back_0,151,11,108
put_back_0,51,15,109
put_back_0,401,9,110
put_back_0,351,10,114
put_back_0,401,10,114
put_back_0,401,11,116
put_back_0,1,4,118
put_back_0,351,11,119
put_back_0,151,12,120
put_back_0,451,9,121
put_back_0,451,10,129
put_back_0,1,5,130
put_back_0,151,13,133
put_back_0,201,7,134
put_back_0,301,9,134
put_back_0,351,12,135
put_back_0,51,16,136
put_back_0,451,11,137
put_back_0,101,12,138
put_back_0,201,8,139
put_back_0,251,14,141
put_back_0,351,13,143
put_back_0,151,14,145
put_back_0,1,6,146
put_back_0,301,10,147
put_back_0,101,13,150
put_back_0,251,15,151
put_back_0,301,11,152
put_back_0,351,14,152
put_back_0,151,15,153
put_back_0,201,9,153
put_back_0,101,14,156
put_back_0,351,15,158
put_back_0,201,10,160
put_back_0,301,12,160
put_back_0,51,17,165
put_back_0,151,16,169
put_back_0,401,12,169
put_back_0,1,7,172
put_back_0,151,17,173
put_back_0,51,18,174
put_back_0,301,13,174
put_back_0,201,11,175
put_back_0,151,18,177
put_back_0,451,12,177
put_back_0,51,19,178
put_back_0,301,14,178
put_back_0,401,13,178
put_back_0,1,8,180
put_back_0,151,19,182
put_back_0,1,9,183
put_back_0,351,16,183
put_back_0,351,17,184
put_back_0,401,14,184
put_back_0,151,20,186
put_back_0,301,15,187
put_back_0,51,20,190
put_back_0,201,12,190
put_back_0,351,18,191
put_back_0,51,21,192
put_back_0,101,15,192
put_back_0,451,13,193
put_back_0,1,10,195
put_back_0,351,19,195
put_back_0,401,15,195
put_back_0,151,21,196
put_back_0,151,22,199
put_back_0,351,20,200
put_back_0,1,11,201
put_back_0,51,22,201
put_back_0,201,13,201
put_back_0,251,16,202
put_back_0,51,23,204
put_back_0,301,16,205
put_back_0,1,12,207
put_back_0,351,21,208
put_back_0,151,23,209
put_back_0,251,17,209
put_back_0,301,17,214
put_back_0,101,16,215
put_back_0,51,24,216
put_back_0,351,22,216
put_back_0,251,18,218
put_back_0,101,17,219
put_back_0,151,24,219
put_back_0,301,18,219
put_back_0,1,13,222
put_back_0,451,14,222
put_back_0,451,15,225
put_back_0,101,18,230
put_back_0,201,14,230
put_back_0,1,14,233
put_back_0,151,25,236
put_back_0,401,16,236
put_back_0,451,16,236
put_back_0,401,17,237
put_back_0,51,25,238
put_back_0,1,15,239
put_back_0,201,15,241
put_back_0,301,19,241
put_back_0,201,16,242
put_back_0,101,19,243
put_back_0,301,20,244
put_back_0,251,19,245
put_back_0,451,17,245
put_back_0,101,20,246
put_back_0,1,17,248
put_back_0,1,18,250
put_back_0,401,18,250
put_back_0,51,26,251
put_back_0,151,26,251
put_back_0,351,23,251
put_back_0,201,17,252
put_back_0,301,21,252
put_back_0,251,20,253
put_back_0,251,21,254
put_back_0,351,24,255
put_back_0,1,19,256
put_back_0,151,27,256
put_back_0,401,19,257
put_back_0,301,22,258
put_back_0,51,27,259
put_back_0,101,21,261
put_back_0,251,22,261
put_back_0,301,23,265
put_back_0,1,20,266
put_back_0,201,18,266
put_back_0,351,25,266
put_back_0,301,24,270
put_back_0,301,25,272
put_back_0,1,21,273
put_back_0,51,28,274
put_back_0,451,18,276
put_back_0,201,19,277
put_back_0,401,20,277
put_back_0,101,22,279
put_back_0,351,26,279
put_back_0,451,19,279
put_back_0,301,26,281
put_back_0,51,29,283
put_back_0,101,23,283
put_back_0,301,27,283
put_back_0,351,27,284
put_back_0,251,23,287
put_back_0,301,28,288
put_back_0,401,21,289
put_back_0,51,30,292
put_back_0,151,28,292
put_back_0,1,22,293
put_back_0,401,22,293
put_back_0,451,20,293
put_back_0,301,29,295
put_back_0,251,24,296
put_back_0,51,31,298
put_back_0,351,28,298
put_back_0,251,25,299
put_back_0,151,29,301
put_back_0,351,29,302
put_back_0,401,23,302
put_back_0,301,30,303
put_back_0,101,24,304
put_back_0,401,24,305
put_back_0,301,31,306
put_back_0,201,20,307
put_back_0,451,21,307
put_back_0,1,23,308
put_back_0,101,25,308
put_back_0,151,30,310
put_back_0,301,32,310
put_back_0,251,26,311
put_back_0,301,33,311
put_back_0,251,27,315
put_back_0,301,34,315
put_back_0,101,26,316
put_back_0,201,21,316
put_back_0,451,22,317
put_back_0,1,24,319
put_back_0,201,22,322
put_back_0,351,30,323
put_back_0,101,27,324
put_back_0,151,31,324
put_back_0,351,31,324
put_back_0,401,25,324
put_back_0,101,28,327
put_back_0,1,25,329
put_back_0,51,32,329
put_back_0,251,28,329
put_back_0,151,32,331
put_back_0,251,29,331
put_back_0,201,23,332
put_back_0,401,26,335
put_back_0,251,30,336
put_back_0,351,32,336
put_back_0,201,24,338
put_back_0,301,35,341
put_back_0,51,33,342
put_back_0,251,31,342
put_back_0,401,27,342
put_back_0,1,26,347
put_back_0,351,33,347
put_back_0,151,33,348
put_back_0,201,25,348
put_back_0,351,34,348
put_back_0,301,36,349
put_back_0,451,23,349
put_back_0,101,29,350
put_back_0,201,26,350
put_back_0,301,37,352
put_back_0,301,38,354
put_back_0,251,32,355
put_back_0,51,34,356
put_back_0,1,27,357
put_back_0,51,35,357
put_back_0,451,24,357
put_back_0,351,35,358
put_back_0,251,33,359
put_back_0,401,28,359
put_back_0,101,30,360
put_back_0,151,34,360
put_back_0,301,39,361
put_back_0,451,25,361
put_back_0,401,29,362
put_back_0,251,34,363
put_back_0,351,36,365
put_back_0,51,36,366
put_back_0,251,35,366
put_back_0,251,36,367
put_back_0,1,28,368
put_back_0,51,37,370
put_back_0,151,35,370
put_back_0,201,27,370
put_back_0,351,37,370
put_back_0,401,30,373
put_back_0,451,26,373
put_back_0,351,38,376
put_back_0,401,31,376
put_back_0,101,32,378
put_back_0,251,37,380
put_back_0,301,40,380
put_back_0,201,28,382
put_back_0,51,38,385
put_back_0,251,38,388
put_back_0,451,27,388
put_back_0,401,32,389
put_back_0,151,36,391
put_back_0,201,29,391
put_back_0,1,29,393
put_back_0,201,30,393
put_back_0,301,41,394
put_back_0,301,42,396
put_back_0,201,31,397
put_back_0,251,39,398
put_back_0,101,33,399
put_back_0,351,39,399
put_back_0,451,28,399
put_back_0,151,37,401
put_back_0,351,40,402
put_back_0,251,40,404
put_back_0,451,29,404
put_back_0,51,39,405
put_back_0,401,33,405
put_back_0,301,43,406
put_back_0,401,34,406
put_back_0,251,41,407
put_back_0,151,38,409
put_back_0,401,35,410
put_back_0,351,41,411
put_back_0,201,32,414
put_back_0,451,30,416
put_back_0,1,30,418
put_back_0,401,37,418
put_back_0,301,44,421
put_back_0,151,39,424
put_back_0,1,31,425
put_back_0,51,40,425
put_back_0,101,34,428
put_back_0,201,33,428
put_back_0,451,31,428
put_back_0,301,45,430
put_back_0,351,42,431
put_back_0,401,38,433
put_back_0,101,35,435
put_back_0,301,46,435
put_back_0,1,32,437
put_back_0,251,42,437
put_back_0,51,41,438
put_back_0,101,36,440
put_back_0,201,34,440
put_back_0,251,43,441
put_back_0,251,44,442
put_back_0,451,32,442
put_back_0,1,33,443
put_back_0,451,33,446
put_back_0,101,37,449
put_back_0,101,38,452
put_back_0,201,35,453
put_back_0,451,34,454
put_back_0,1,34,455
put_back_0,251,45,456
put_back_0,301,47,456
put_back_0,51,42,459
put_back_0,301,48,460
put_back_0,201,36,463
put_back_0,401,39,463
put_back_0,201,37,464
put_back_0,351,43,465
put_back_0,251,46,466
put_back_0,151,40,467
put_back_0,251,47,467
put_back_0,351,44,468
put_back_0,51,43,469
put_back_0,201,38,469
put_back_0,251,48,469
put_back_0,401,40,469
put_back_0,101,39,470
put_back_0,151,41,470
put_back_0,51,44,473
put_back_0,351,45,473
put_back_0,201,39,475
put_back_0,1,35,478
put_back_0,101,40,478
put_back_0,51,45,483
put_back_0,101,41,483
put_back_0,1,36,484
put_back_0,251,49,484
put_back_0,401,41,484
put_back_0,151,42,485
put_back_0,51,46,486
put_back_0,201,40,486
put_back_0,1,37,489
put_back_0,251,50,490
put_back_0,251,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,351,46,491
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,401,42,492
put_back_0,451,35,492
put_back_0,51,47,493
put_back_0,51,48,496
put_back_0,151,43,496
put_back_0,351,47,496
put_back_0,1,38,497
put_back_0,1,39,499
put_back_0,401,43,500
put_back_0,451,36,500
put_back_0,101,42,502
put_back_0,201,41,502
put_back_0,401,44,503
put_back_0,51,49,504
put_back_0,151,44,504
put_back_0,301,49,504
put_back_0,1,40,505
put_back_0,301,50,505
put_back_0,301,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,1,2
put_back_0,252,1,19
put_back_0,351,48,509
put_back_0,1,41,510
put_back_0,51,50,512
put_back_0,51,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,101,43,513
put_back_0,252,2,23
put_back_0,101,44,517
put_back_0,201,42,517
put_back_0,401,45,519
put_back_0,52,1,9
put_back_0,52,2,11
put_back_0,151,45,523
put_back_0,401,46,523
put_back_0,1,42,525
put_back_0,201,43,526
put_back_0,302,2,24
put_back_0,1,43,530
put_back_0,52,3,18
put_back_0,101,45,530
put_back_0,151,46,530
put_back_0,252,3,40
put_back_0,201,44,532
put_back_0,401,47,533
put_back_0,201,45,535
put_back_0,451,37,536
put_back_0,151,47,537
put_back_0,252,4,47
put_back_0,101,46,539
put_back_0,201,46,539
put_back_0,252,5,49
put_back_0,52,4,29
put_back_0,252,6,51
put_back_0,151,48,543
put_back_0,401,49,546
put_back_0,52,5,35
put_back_0,151,49,547
put_back_0,1,45,548
put_back_0,252,7,59
put_back_0,351,49,549
put_back_0,451,38,549
put_back_0,52,6,39
put_back_0,401,50,551
put_back_0,401,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,52,7,44
put_back_0,151,50,557
put_back_0,151,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,101,47,559
put_back_0,152,1,2
put_back_0,302,3,55
put_back_0,451,39,563
put_back_0,302,4,59
put_back_0,402,1,13
put_back_0,201,47,566
put_back_0,1,46,567
put_back_0,152,2,10
put_back_0,201,48,567
put_back_0,52,8,59
